polarities
0.2
0.2
0.2
0.0
0.30833333333333335
0.0
0.0
0.2
0.2
0.0
-0.05
0.5
0.0
0.5
0.375
0.5
0.21818181818181817
1.0
0.08
0.225
0.2
0.0
1.0
0.35
0.15757575757575756
0.8
-0.3
0.2
0.2857142857142857
0.2857142857142857
0.0
0.390625
0.0
0.375
0.5375
0.390625
0.0
-0.05
